species,matric_pot,hyphal_rate,type
a.gal10.n,-0,1.3131080465429e-5,smoothed
a.gal10.n,-0.01,1.8989e-5,smoothed
a.gal10.n,-0.02,2.7264528287087e-5,smoothed
a.gal10.n,-0.03,3.8868259785035e-5,smoothed
a.gal10.n,-0.04,5.50171687511078e-5,smoothed
a.gal10.n,-0.05,7.73237812703175e-5,smoothed
a.gal10.n,-0.06,1.07906e-4,smoothed
a.gal10.n,-0.07,1.495209e-4,smoothed
a.gal10.n,-0.08,2.057258e-4,smoothed
a.gal10.n,-0.09,2.810691e-4,smoothed
a.gal10.n,-0.1,3.813132e-4,smoothed
a.gal10.n,-0.11,5.13692e-4,smoothed
a.gal10.n,-0.12,6.872013e-4,smoothed
a.gal10.n,-0.13,9.129221e-4,smoothed
a.gal10.n,-0.14,0.0012043729,smoothed
a.gal10.n,-0.15,0.0015778841,smoothed
a.gal10.n,-0.16,0.0020529856,smoothed
a.gal10.n,-0.17,0.0026527957,smoothed
a.gal10.n,-0.18,0.0034043937,smoothed
a.gal10.n,-0.19,0.0043391574,smoothed
a.gal10.n,-0.2,0.0054930421,smoothed
a.gal10.n,-0.21,0.0069067746,smoothed
a.gal10.n,-0.22,0.0086259341,smoothed
a.gal10.n,-0.23,0.0107008914,smoothed
a.gal10.n,-0.24,0.0131865763,smoothed
a.gal10.n,-0.25,0.016142048,smoothed
a.gal10.n,-0.26,0.0196298447,smoothed
a.gal10.n,-0.27,0.0237150981,smoothed
a.gal10.n,-0.28,0.0284644038,smoothed
a.gal10.n,-0.29,0.0339444514,smoothed
a.gal10.n,-0.3,0.0402204285,smoothed
a.gal10.n,-0.31,0.0473542286,smoothed
a.gal10.n,-0.32,0.0554025023,smoothed
a.gal10.n,-0.33,0.0644146108,smoothed
a.gal10.n,-0.34,0.0744305464,smoothed
a.gal10.n,-0.35,0.085478901,smoothed
a.gal10.n,-0.36,0.0975749655,smoothed
a.gal10.n,-0.37,0.11071905,smoothed
a.gal10.n,-0.38,0.1248951122,smoothed
a.gal10.n,-0.39,0.1400697744,smoothed
a.gal10.n,-0.4,0.1561917994,smoothed
a.gal10.n,-0.41,0.1731920806,smoothed
a.gal10.n,-0.42,0.1909841795,smoothed
a.gal10.n,-0.43,0.2094654234,smoothed
a.gal10.n,-0.44,0.2285185484,smoothed
a.gal10.n,-0.45,0.2480138497,smoothed
a.gal10.n,-0.46,0.2678117754,smoothed
a.gal10.n,-0.47,0.2877658777,smoothed
a.gal10.n,-0.48,0.3077260177,smoothed
a.gal10.n,-0.49,0.3275417081,smoothed
a.gal10.n,-0.5,0.3470654677,smoothed
a.gal10.n,-0.51,0.3661560654,smoothed
a.gal10.n,-0.52,0.3846815326,smoothed
a.gal10.n,-0.53,0.4025218393,smoothed
a.gal10.n,-0.54,0.4195711423,smoothed
a.gal10.n,-0.55,0.4357395373,smoothed
a.gal10.n,-0.56,0.4509542723,smoothed
a.gal10.n,-0.57,0.4651604005,smoothed
a.gal10.n,-0.58,0.4783208824,smoothed
a.gal10.n,-0.59,0.4904161643,smoothed
a.gal10.n,-0.6,0.5014432855,smoothed
a.gal10.n,-0.61,0.5114145807,smoothed
a.gal10.n,-0.62,0.5203560571,smoothed
a.gal10.n,-0.63,0.5283055324,smoothed
a.gal10.n,-0.64,0.5353106233,smoothed
a.gal10.n,-0.65,0.5414266693,smoothed
a.gal10.n,-0.66,0.5467146732,smoothed
a.gal10.n,-0.67,0.5512393272,smoothed
a.gal10.n,-0.68,0.5550671841,smoothed
a.gal10.n,-0.69,0.5582650181,smoothed
a.gal10.n,-0.7,0.5608984061,smoothed
a.gal10.n,-0.71,0.5630305479,smoothed
a.gal10.n,-0.72,0.5647213297,smoothed
a.gal10.n,-0.73,0.5660266268,smoothed
a.gal10.n,-0.74,0.5669978291,smoothed
a.gal10.n,-0.75,0.5676815702,smoothed
a.gal10.n,-0.76,0.568119633,smoothed
a.gal10.n,-0.77,0.5683490036,smoothed
a.gal10.n,-0.78,0.5684020441,smoothed
a.gal10.n,-0.79,0.5683067566,smoothed
a.gal10.n,-0.8,0.5680871102,smoothed
a.gal10.n,-0.81,0.5677634081,smoothed
a.gal10.n,-0.82,0.5673526746,smoothed
a.gal10.n,-0.83,0.5668690441,smoothed
a.gal10.n,-0.84,0.5663241392,smoothed
a.gal10.n,-0.85,0.5657274281,smoothed
a.gal10.n,-0.86,0.5650865542,smoothed
a.gal10.n,-0.87,0.5644076336,smoothed
a.gal10.n,-0.88,0.5636955196,smoothed
a.gal10.n,-0.89,0.5629540324,smoothed
a.gal10.n,-0.9,0.5621861565,smoothed
a.gal10.n,-0.91,0.5613942079,smoothed
a.gal10.n,-0.92,0.5605799731,smoothed
a.gal10.n,-0.93,0.5597448238,smoothed
a.gal10.n,-0.94,0.5588898098,smoothed
a.gal10.n,-0.95,0.5580157339,smoothed
a.gal10.n,-0.96,0.5571232111,smoothed
a.gal10.n,-0.97,0.5562127151,smoothed
a.gal10.n,-0.98,0.5552846146,smoothed
a.gal10.n,-0.99,0.5543392008,smoothed
a.gal10.n,-1,0.5533767084,smoothed
a.gal10.n,-1.01,0.5523973316,smoothed
a.gal10.n,-1.02,0.5514012358,smoothed
a.gal10.n,-1.03,0.5503885662,smoothed
a.gal10.n,-1.04,0.5493594539,smoothed
a.gal10.n,-1.05,0.5483140212,smoothed
a.gal10.n,-1.06,0.547252384,smoothed
a.gal10.n,-1.07,0.5461746546,smoothed
a.gal10.n,-1.08,0.5450809431,smoothed
a.gal10.n,-1.09,0.5439713587,smoothed
a.gal10.n,-1.1,0.5428460103,smoothed
a.gal10.n,-1.11,0.5417050071,smoothed
a.gal10.n,-1.12,0.5405484589,smoothed
a.gal10.n,-1.13,0.5393764765,smoothed
a.gal10.n,-1.14,0.5381891715,smoothed
a.gal10.n,-1.15,0.5369866567,smoothed
a.gal10.n,-1.16,0.5357690461,smoothed
a.gal10.n,-1.17,0.5345364547,smoothed
a.gal10.n,-1.18,0.5332889988,smoothed
a.gal10.n,-1.19,0.5320267958,smoothed
a.gal10.n,-1.2,0.5307499644,smoothed
a.gal10.n,-1.21,0.5294586243,smoothed
a.gal10.n,-1.22,0.5281528964,smoothed
a.gal10.n,-1.23,0.5268329029,smoothed
a.gal10.n,-1.24,0.5254987668,smoothed
a.gal10.n,-1.25,0.5241506125,smoothed
a.gal10.n,-1.26,0.5227885652,smoothed
a.gal10.n,-1.27,0.5214127514,smoothed
a.gal10.n,-1.28,0.5200232985,smoothed
a.gal10.n,-1.29,0.518620335,smoothed
a.gal10.n,-1.3,0.5172039903,smoothed
a.gal10.n,-1.31,0.5157743948,smoothed
a.gal10.n,-1.32,0.5143316799,smoothed
a.gal10.n,-1.33,0.512875978,smoothed
a.gal10.n,-1.34,0.5114074223,smoothed
a.gal10.n,-1.35,0.509926147,smoothed
a.gal10.n,-1.36,0.508432287,smoothed
a.gal10.n,-1.37,0.5069259783,smoothed
a.gal10.n,-1.38,0.5054073576,smoothed
a.gal10.n,-1.39,0.5038765623,smoothed
a.gal10.n,-1.4,0.502333731,smoothed
a.gal10.n,-1.41,0.5007790026,smoothed
a.gal10.n,-1.42,0.499212517,smoothed
a.gal10.n,-1.43,0.4976344148,smoothed
a.gal10.n,-1.44,0.4960448374,smoothed
a.gal10.n,-1.45,0.49444392660000003,smoothed
a.gal10.n,-1.46,0.4928318253,smoothed
a.gal10.n,-1.47,0.4912086767,smoothed
a.gal10.n,-1.48,0.4895746247,smoothed
a.gal10.n,-1.49,0.487929814,smoothed
a.gal10.n,-1.5,0.4862743897,smoothed
a.gal10.n,-1.51,0.4846084974,smoothed
a.gal10.n,-1.52,0.4829322834,smoothed
a.gal10.n,-1.53,0.4812458946,smoothed
a.gal10.n,-1.54,0.4795494781,smoothed
a.gal10.n,-1.55,0.4778431817,smoothed
a.gal10.n,-1.56,0.4761271537,smoothed
